G: 0, S: 0, Sc: 2649
G: 10, S: 0, Sc: 2300
G: 11, S: 0, Sc: 1005
G: 11, S: 12877, Sc: 930
G: 11, S: 16526, Sc: 703
G: 11, S: 19558, Sc: 611
G: 11, S: 20528, Sc: 383
G: 12, S: 0, Sc: 715
G: 12, S: 1155, Sc: 1913
G: 12, S: 12700, Sc: 1468
G: 12, S: 18660, Sc: 1480
G: 12, S: 19102, Sc: 1664
G: 12, S: 24103, Sc: 1586
G: 12, S: 24762, Sc: 1682
G: 12, S: 24803, Sc: 487
G: 12, S: 29992, Sc: 1766
G: 12, S: 5864, Sc: 1595
G: 13, S: 0, Sc: 153
G: 15, S: 0, Sc: 380
G: 16, S: 0, Sc: 1934
G: 17, S: 0, Sc: 1400
G: 18, S: 0, Sc: 491
G: 19, S: 0, Sc: 1300
G: 1, S: 0, Sc: 900
G: 20, S: 0, Sc: 1744
G: 21, S: 0, Sc: 620
G: 22, S: 0, Sc: 2600
G: 23, S: 0, Sc: 136
G: 2, S: 0, Sc: 1025
G: 2, S: 13639, Sc: 1045
G: 2, S: 13948, Sc: 455
G: 2, S: 15385, Sc: 575
G: 2, S: 16783, Sc: 570
G: 2, S: 23027, Sc: 1010
G: 2, S: 23862, Sc: 670
G: 2, S: 25221, Sc: 1035
G: 2, S: 29639, Sc: 1040
G: 2, S: 679, Sc: 680
G: 3, S: 0, Sc: 945
G: 3, S: 29060, Sc: 455
G: 3, S: 31960, Sc: 708
G: 3, S: 6094, Sc: 1073
G: 3, S: 6876, Sc: 399
G: 4, S: 0, Sc: 992
G: 4, S: 11006, Sc: 884
G: 4, S: 12140, Sc: 1972
G: 4, S: 12272, Sc: 1188
G: 4, S: 12352, Sc: 2512
G: 4, S: 12976, Sc: 876
G: 4, S: 13537, Sc: 996
G: 4, S: 13661, Sc: 1772
G: 4, S: 13694, Sc: 992
G: 4, S: 15766, Sc: 1296
G: 4, S: 16520, Sc: 1764
G: 4, S: 16868, Sc: 1204
G: 4, S: 17014, Sc: 656
G: 4, S: 177, Sc: 2198
G: 4, S: 17818, Sc: 1092
G: 4, S: 18451, Sc: 1092
G: 4, S: 19530, Sc: 664
G: 4, S: 19542, Sc: 556
G: 4, S: 19957, Sc: 880
G: 4, S: 20701, Sc: 2860
G: 4, S: 2148, Sc: 1316
G: 4, S: 21695, Sc: 1096
G: 4, S: 21791, Sc: 1324
G: 4, S: 22290, Sc: 1864
G: 4, S: 22345, Sc: 1652
G: 4, S: 22572, Sc: 656
G: 4, S: 23008, Sc: 672
G: 4, S: 23344, Sc: 1104
G: 4, S: 23414, Sc: 1756
G: 4, S: 2584, Sc: 1964
G: 4, S: 2586, Sc: 660
G: 4, S: 26137, Sc: 1108
G: 4, S: 26153, Sc: 1752
G: 4, S: 26930, Sc: 432
G: 4, S: 28635, Sc: 764
G: 4, S: 28921, Sc: 1532
G: 4, S: 2895, Sc: 1318
G: 4, S: 29697, Sc: 1216
G: 4, S: 29707, Sc: 552
G: 4, S: 29971, Sc: 548
G: 4, S: 30014, Sc: 992
G: 4, S: 31051, Sc: 2096
G: 4, S: 32001, Sc: 984
G: 4, S: 6045, Sc: 1544
G: 4, S: 6532, Sc: 756
G: 4, S: 7533, Sc: 652
G: 4, S: 8269, Sc: 764
G: 4, S: 8444, Sc: 3194
G: 4, S: 8466, Sc: 3196
G: 4, S: 8700, Sc: 772
G: 5, S: 0, Sc: 960
G: 5, S: 11460, Sc: 612
G: 5, S: 14027, Sc: 688
G: 5, S: 15215, Sc: 1163
G: 5, S: 15577, Sc: 1160
G: 5, S: 22837, Sc: 1056
G: 5, S: 22837, Sc: 1056
G: 5, S: 24851, Sc: 1159
G: 5, S: 32620, Sc: 870
G: 5, S: 32719, Sc: 739
G: 6, S: 0, Sc: 3966
G: 6, S: 10919, Sc: 3861
G: 6, S: 11993, Sc: 3859
G: 6, S: 13120, Sc: 3872
G: 6, S: 13185, Sc: 3746
G: 6, S: 13859, Sc: 3854
G: 6, S: 14118, Sc: 3860
G: 6, S: 1519, Sc: 3967
G: 6, S: 15379, Sc: 3966
G: 6, S: 15671, Sc: 3857
G: 6, S: 16393, Sc: 3869
G: 6, S: 16650, Sc: 3969
G: 6, S: 16903, Sc: 3966
G: 6, S: 17013, Sc: 4084
G: 6, S: 17114, Sc: 3968
G: 6, S: 18093, Sc: 3751
G: 6, S: 18588, Sc: 3862
G: 6, S: 19086, Sc: 3856
G: 6, S: 21458, Sc: 3745
G: 6, S: 21728, Sc: 3960
G: 6, S: 22079, Sc: 3748
G: 6, S: 23220, Sc: 3968
G: 6, S: 23256, Sc: 3971
G: 6, S: 24334, Sc: 3863
G: 6, S: 24513, Sc: 3965
G: 6, S: 24524, Sc: 3862
G: 6, S: 24732, Sc: 3861
G: 6, S: 25267, Sc: 3969
G: 6, S: 25460, Sc: 3860
G: 6, S: 25499, Sc: 4073
G: 6, S: 25536, Sc: 3742
G: 6, S: 26670, Sc: 3967
G: 6, S: 26708, Sc: 3744
G: 6, S: 26906, Sc: 3966
G: 6, S: 28599, Sc: 3857
G: 6, S: 2860, Sc: 3750
G: 6, S: 29169, Sc: 3857
G: 6, S: 31026, Sc: 4072
G: 6, S: 3703, Sc: 3860
G: 6, S: 5343, Sc: 3865
G: 6, S: 629, Sc: 3855
G: 6, S: 6839, Sc: 3852
G: 6, S: 7082, Sc: 3859
G: 6, S: 7610, Sc: 3970
G: 6, S: 8123, Sc: 3856
G: 6, S: 8466, Sc: 3747
G: 6, S: 8780, Sc: 3752
G: 6, S: 8856, Sc: 3766
G: 6, S: 9536, Sc: 3854
G: 6, S: 9816, Sc: 3856
G: 7, S: 0, Sc: 860
G: 7, S: 16651, Sc: 451
G: 7, S: 18705, Sc: 285
G: 7, S: 22828, Sc: 254
G: 7, S: 27669, Sc: 564
G: 8, S: 0, Sc: 5953
G: 8, S: 10596, Sc: 6056
G: 8, S: 14104, Sc: 6062
G: 8, S: 19012, Sc: 6165
G: 8, S: 20240, Sc: 5838
G: 8, S: 2629, Sc: 5399
G: 8, S: 28581, Sc: 6068
G: 8, S: 4491, Sc: 5732
G: 8, S: 5696, Sc: 5956
G: 8, S: 8000, Sc: 830
G: 9, S: 0, Sc: 824
G: 9, S: 10998, Sc: 707
G: 9, S: 23855, Sc: 708
G: 9, S: 26637, Sc: 490
G: 9, S: 4150, Sc: 929
